idScholar,title,authors,venue,year,ROW_ID
aKcZKwvwbQwJ,11578 Sorrento Valley Road,QD Inc,"San Diego,",,1
ixKfiTHoaDoJ,Initiation of crazes in polystyrene,"AS Argon, JG Hannoosh","Phil. Mag,",,2
3BxllB4wwcIJ,Immunogold labelling is a quantitative method as demonstrated by studies on aminopeptidase N in  ,"GH Hansen, LL Wetterberg, H SjÌÄå_strÌÄå_m, O NorÌÄå©n","The Histochemical Journal,",1992,3
d2WWxwKMex4J,The Burden of Infectious Disease Among Inmates and Releasees From Correctional Facilities,"TM Hammett, P Harmon, W Rhodes",see,,4
cZCX-AQpjccJ,The Role of Faculty Advising in Science and Engineering,JR Cogdell,"NEW DIRECTIONS FOR TEACHING AND LEARNING,",1995,5
DMhfVNSDYD4J,The zero multiplicity of linear recurrence sequences,WM Schmidt,to,,6
97wRWOpnANkJ,PREDICITVE VALIDITY OF KINDERGARTEN SCREENERS FOR YOUNG CHILDREN WITH READING DIFFICULTIES,RA Haats,,2002,7
xSv97kdDZU8J,The Photosynthetic Reaction Center,"JR Norris, J Deisenhofer","San Diego: Academic,",,8
vj0-A5RoktIJ,"F., Diene, AW, Ndiaye, Y. Hachage linÌÄå©aire Scalable et DistribuÌÄå© LH* LH sous Windows NT",F Bennour,"Res. Rep. CERIA, U. Paris,",,9
6TKMB5gO9EoJ,Multidimensional similarity structure analysis,"I Borg, JC Lingoes",,1987,10
im0SIHX8SOcJ,Linear Algebra and its Applications Harcourt Brace Jovanovich,G Strang,"San Diego,",,11
izK60fJMujQJ,"deD., D. Roncagliolo y U. Velarde (1997) Interactions and independence in stated preference  ",J OrtÌÄå_zar,Proceedings of the 25 thEuropean Transport,,12
UPWEn_-Pd-sJ,Stereochemical Applications of Gas-Phase Electron Diffraction,"K Kuchitsu, M Nakata, S Yamamoto, I Hargittai, M  ","Hargittai,",,13
lDTPyBMtHVwJ,Obtaining Complete Answers from Incomplete Databases,AY Levy,"PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1996,14
173qcCip5coJ,"Li., C., AND Vitter. J. 2001. Supporting incremental join queries on ranked inputs","A Natsev, Y Chang, J Smith",Proceedings of the Very Large Data Bases Conference (VLDB; ,,15
I3mRuMui5o0J,Classical topology and combinatorial group theory,J Stillwell,,1995,16
0GT_dHqK5roJ,A Database Index to Large Biological Sequences,"E Hunt, MP Atkinson, RW Irving",,,17
6wr9qvjWwy4J,Progress through ICH toward harmonization of genetic toxicology testing practices for  ,GS Probst,"Seattle, Washington DC,",,18
yNwfL9rufUIJ,Pain and leg ulceration associated with reduced ABPI and atropie blanche,D Hofman,"Proceedings of the 2 nd meeting on measurements in wound  &hellip;,",1998,19
k9_rZiB4rKoJ,Recognita Plus: OCR with Strength in Hardware,B Simon,"PC Magazine (10),",,20
QOmFqwrnSvgJ,The Family Transition Program: Implementation and Interim Impacts of FloridaÌ¢??s Initial Time- ,"D Bloom, M Farrell, JJ Kemple, N Verma",,,21
0BIwb8RT4OMJ,World Population Prospects: The 1996 Revision,U Nations,"New York,",,22
XLslbG3-JYcJ,The Racing Algorithm: Model Selection for Lazy Learners,"O Maron, AW Moore","Artificial Intelligence Review,",1997,23
v-6ClxSz9doJ,Survival Skills for Graduate School and Beyond,"BA Fischer, MJ Zigmond","New Directions for Higher Education,",1998,24
hM920cBVn1wJ,Consequences of Migration and Remittances for Mexican Transnational Communities.,"D Conway, JH Cohen","Economic Geography,",1998,25
0HMk-YUh4i8J,Too Much Middleware,M Stonebraker,"SIGMOD Record,",2002,26
rgzK3sG-rnQJ,A Correctness Proof for a Practical Byzantine-Fault-Tolerant Replication Algorithm. Technical Memo  ,"M Castro, B Liskov",,1999,27
r3sCE4vukG0J,On a stochastic optimization algorithm using IPA which updates after every customer,"EKP Chong, PJ Ramadge","Proc. 28th Allerton Conf. on Communication, Control, and  &hellip;,",,28
7B7KCnJu4j8J,Flight to Objectivity: Essays on Cartesianism and Culture,S Bordo,,,29
wGTOB7ImnLYJ,Capturing Design Rationale in Concurrent Engineering Teams,M Klein,,,30
d2QifUxZ3zQJ,Chromosome banding in X-linked mental retardation,C Fonatsch,"Lancet I,",,31
pvUeHhayZ88J,Wanted: True believers,F Hayes,"Computerworld,",,32
pG9TXzucQzcJ,Multirate analog-digital systems for signal processing and conversion,"J Franca, A Petraglia, SK Mitra","Proceedings of the IEEE,",1997,33
fOH6aNSDFXkJ,An Empirical Review of Price Behaviour on the Internet,H Riquelme,"Electronic Markets,",2001,34
url:http://portal.acm.org/citation.cfm%3Fid%3D110307.110302,"PSM: software tool for simulating, prototyping, and monitoring of multiprocessor systems","A Stafylopatis, I Papakonstantinou, S Kaxiras","Information and Software Technology,",1992,35
_-p7FOuTcEIJ,Electrocardiographic manifestations: patterns that confound the EKG diagnosis of acute myocardial  ,"WJ Brady, TC Chan, M Pollack","JOURNAL OF EMERGENCY MEDICINE,",2000,36
