idDBLP,idScholar,DBLP_Match,Scholar_Match,Match_ID
journals/sigmod/ChienTZ01,cjBpI3TcSWsJ,142,369,142_369
conf/sigmod/ArasuG03,zN8ngmWNDlgJ,212,203,212_203
conf/sigmod/BabcockBDM03,a2wqpKma5J4J,220,1120,220_1120
journals/sigmod/Dogac02,YG9Js5mJbV0J,227,1086,227_1086
journals/sigmod/SommerGB02,8l5_eKZcCh8J,230,810,230_810
journals/sigmod/Stonebraker02,0HMk-YUh4i8J,246,26,246_26
journals/sigmod/GobleR02,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D507366%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,249,192,249_192
conf/sigmod/LakshmananPZ03,rNu93TfKkd4J,258,1239,258_1239
conf/sigmod/JagatheesanR03,QDqI_QZyy10J,288,532,288_532
conf/sigmod/Dyreson03,l7KC1qG6OGEJ,373,1430,373_1430
conf/sigmod/KornMZ03,6VAQeD6muakJ,413,842,413_842
journals/sigmod/CareyS99,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D310071%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,429,167,429_167
journals/sigmod/Fong97,rgJU30QjbhkJ,562,1034,562_1034
conf/sigmod/DattaDRTV01,qK-N8yVLSWUJ,613,1807,613_1807
journals/sigmod/BilirisP96,fu9j50Kk4Y4J,656,1397,656_1397
journals/sigmod/AtkinsonDJPS96,JHVWab3P4zIJ,730,1267,730_1267
journals/sigmod/Zhang95,f86VsMJZ9gAJ,791,1970,791_1970
journals/sigmod/DrewHKKLLLSW95,9fcJjh5vHn8J,853,405,853_405
conf/sigmod/KotidisR99,qzjtGDo7OuMJ,944,1756,944_1756
conf/sigmod/KrishnamurthyBN99,qS4jhfgPbm8J,987,906,987_906
