idDBLP,title,authors,venue,year,Row_ID,duplicate
conf/vldb/RusinkiewiczKTWM95,towards a cooperative transaction model - the cooperative activity model,"m rusinkiewicz, w klas, t tesch, j wšsch, p muth",vldb,1995,1,-1
journals/sigmod/EisenbergM02,sql/xml is making good progress,"a eisenberg, j melton",sigmod record,2002,2,-1
conf/vldb/AmmannJR95,using formal methods to reason about semantics-based decompositions of transactions,"p ammann, s jajodia, i ray",vldb,1995,3,-1
journals/sigmod/Hammer02,report on the acm fourth international workshop on data warehousing and olap (dolap 2001),,,2002,5,-1
conf/vldb/FerrandinaMZFM95,schema and database evolution in the o2 object database system,"f ferrandina, t meyer, r zicari, g ferran, j madec",vldb,1995,6,-1
conf/vldb/SubietaKL95,procedures in object-oriented query languages,"k subieta, y kambayashi, j leszczylowski",vldb,1995,7,-1
journals/sigmod/BargaL02,phoenix project: fault-tolerant applications,"r barga, d lomet",sigmod record,2002,8,-1
journals/sigmod/Ouksel02,mining the world wide web: an information search approach - book review,,,2002,9,-1
conf/vldb/MoserKK95,l/mrp: a buffer management strategy for interactive continuous data flows in a multimedia dbms,"f moser, a kraiss, w klas",vldb,1995,10,-1
journals/sigmod/Konig-RiesMMPPRSVW02,report on the nsf workshop on building an infrastructure for mobile and wireless systems,,,2002,11,-1
conf/vldb/ChaudhuriGS95,retrieval of composite multimedia objects,"s chaudhuri, s ghandeharizadeh, c shahabi",vldb,1995,12,-1
journals/sigmod/Kosch02,mpeg-7 and multimedia database systems,h kosch,sigmod record,2002,13,-1
conf/vldb/LuTD95,the fittest survives: an adaptive approach to query optimization,"h lu, k tan, s dao",vldb,1995,14,-1
conf/vldb/TreschPL95,type classification of semi-structured documents,"m tresch, n palmer, a luniewski",vldb,1995,16,-1
journals/sigmod/Geller02,data mining: practical machine learning tools and techniques - book review,j geller,sigmod record,2002,17,-1
conf/vldb/MehtaD95,managing intra-operator parallelism in parallel database systems,"m mehta, d dewitt",vldb,1995,18,-1
journals/sigmod/CaplinskasEV02,advances in databases and information systems (adbis),"a caplinskas, j eder, o vasilecas",sigmod record,2002,19,-1
conf/vldb/SrikantA95,mining generalized association rules,"r srikant, r agrawal",vldb,1995,20,-1
conf/vldb/HaasNSS95,sampling-based estimation of the number of distinct values of an attribute,"p haas, j naughton, s seshadri, l stokes",vldb,1995,21,-1
conf/vldb/FlodinR95,processing object-oriented queries with invertible late bound functions,"s flodin, t risch",vldb,1995,23,-1
journals/sigmod/Kemper02,databases and transaction processing: an application-oriented approach - book review,a kemper,sigmod record,2002,24,-1
