idDBLP,idScholar,DBLP_Match,Scholar_Match,Match_ID
journals/sigmod/EisenbergM02,wgK6p4mDSIMJ,2,63690,2_63690
journals/sigmod/Hammer02,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D584455%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,5,4975,5_4975
journals/sigmod/BargaL02,QTzV3iNq2O8J,8,40746,8_40746
journals/sigmod/Konig-RiesMMPPRSVW02,s6EfjBMbUb4J,11,26195,11_26195
journals/sigmod/Kosch02,_avm808LQocJ,13,27627,13_27627
journals/sigmod/CaplinskasEV02,MH0RCZvsQ1cJ,19,41048,19_41048
conf/vldb/SrikantA95,Ve-JH2yNN0kJ,20,5058,20_5058
journals/sigmod/Kim02,1PPb2Y8X7rAJ,26,16331,26_16331
journals/sigmod/CiliaB02,Y1HVgTopekIJ,30,23455,30_23455
journals/sigmod/HummerLW02,W1IcM8IUwAEJ,31,27486,31_27486
conf/vldb/LometT95,P7GUGC5bz7wJ,32,47581,32_47581
conf/vldb/Wang95,kYYJq-JrCn0J,33,3741,33_3741
journals/sigmod/HalkidiBV02,GHjgDrEbqM4J,38,11886,38_11886
journals/sigmod/PourabbasR02,QyNfyYDySawJ,39,60341,39_60341
conf/vldb/HoelS95,7KsyQNj74A4J,40,5473,40_5473
journals/sigmod/CruzKLSWY02,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D601882%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,45,42318,45_42318
journals/sigmod/LuoI02,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D601879%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,47,9465,47_9465
journals/sigmod/Wiegand02,RAcoVQuEzD8J,49,61163,49_61163
conf/vldb/KonopnickiS95,fAZ2KwztkLoJ,50,34911,50_34911
journals/sigmod/OrlandicLS02,eLf0eStn5G4J,51,36934,51_36934
conf/vldb/Korth95,UZAQL1o-c0MJ,54,45108,54_45108
journals/sigmod/Fagin02,C3swZi1md5YJ,55,51445,55_51445
journals/sigmod/YaoG02,ARLe7W8EvDoJ,67,14320,67_14320
conf/vldb/NgH94,6OfJSMB4vOcJ,73,47344,73_47344
journals/sigmod/Neven02,xAXF0HSF4h8J,74,12937,74_12937
journals/sigmod/WinslettCDHZZ02,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D601881%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,75,51637,75_51637
journals/sigmod/CrestaniG02,tyZxVraNgTsJ,85,2858,85_2858
conf/vldb/JohnsonS94,FqxbaJQMigIJ,90,55456,90_55456
journals/sigmod/LightstoneLZ02,7TYVQTwq9FIJ,92,15950,92_15950
conf/vldb/BaralisW94,nqaF5CzBelgJ,94,3621,94_3621
conf/vldb/AgrawalS94,P0age7qyZacJ,96,7823,96_7823
journals/sigmod/Badia02,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D637425%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,97,4581,97_4581
journals/sigmod/GobleR02a,B-u4advaVBkJ,99,58347,99_58347
conf/vldb/EvangelidisLS95,sXa76m0wBGYJ,102,9822,102_9822
journals/sigmod/Wu02,url:http://portal.acm.org/citation.cfm%3Fid%3D637411.637426%26dl%3DGUIDE%26dl%3DACM%26idx%3D637411%26part%3Dperiodical%26WantType%3Dperiodical%26title%3DACM%2520SIGMOD%2520Record%26CFID%3D11111111%26CFTOKEN%3D2222222,103,36981,103_36981
journals/sigmod/FininJ02,rg8576nvnkUJ,106,53955,106_53955
journals/sigmod/SureSS02,v0tY6g0DHMcJ,107,24798,107_24798
journals/sigmod/AnyanwuS02,LoDGuFLlvsAJ,111,6002,111_6002
conf/vldb/SistlaYLL95,bDH4OmzDSLEJ,112,13080,112_13080
journals/sigmod/HalkidiBV02a,SFs0XOMPphIJ,113,16946,113_16946
journals/sigmod/HuangKL02,yyUMt1X2WXcJ,119,23180,119_23180
journals/sigmod/Grohe02,RnmBv4e85pMJ,123,1818,123_1818
journals/sigmod/BoucelmaCGJLL02,I9JXY0-R4GgJ,128,24329,128_24329
journals/sigmod/HanBP01, ,130,56579,130_56579
journals/sigmod/Suciu01,_vOvQUzSV-gJ,131,11737,131_11737
journals/sigmod/Fankhauser01,_sltXCfRKhYJ,133,59684,133_59684
conf/vldb/BrownMCL94,xfAfu8uJ6NAJ,134,5099,134_5099
journals/sigmod/SchmidtWKFCMB01,fc8y9x82jqAJ,135,57345,135_57345
conf/vldb/LevyMS94,8AHaTrvwsJoJ,136,25401,136_25401
journals/sigmod/Lomet01,fI5o4MfWwzIJ,137,24660,137_24660
journals/sigmod/ChienTZ01,cjBpI3TcSWsJ,142,369,142_369
journals/sigmod/LudascherMM01,16yr6uv8Rn8J,144,4131,144_4131
conf/vldb/TeisseirePC94,w17spSGfEXYJ,147,13198,147_13198
journals/sigmod/Winslett01,m2Mf-4BgLP4J,149,60266,149_60266
conf/vldb/HoelS94,PBMxFmEVlBQJ,157,20258,157_20258
journals/sigmod/EisenbergM01,GKUflKzgAVEJ,158,62559,158_62559
journals/sigmod/MeltonE01,619anaISuGEJ,163,12548,163_12548
journals/sigmod/ShethMKA01,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604286%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,172,32201,172_32201
journals/sigmod/Cetintemel01,CAKcsKXFoCoJ,173,45432,173_45432
journals/sigmod/BabuW01,VLOGPMjpyZ0J,178,4285,178_4285
journals/sigmod/Huyn01,KNYDz76C_HsJ,179,40404,179_40404
journals/sigmod/ShanmugasundaramSKKVNT01,wTJy5XquCpsJ,182,37912,182_37912
journals/sigmod/LabrinidisM01,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D603886%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,191,40928,191_40928
journals/sigmod/StolfoLCFE01,lvIPWxkN4YAJ,195,18711,195_18711
conf/sigmod/BabcockO03,acnzsOLHFywJ,196,46741,196_46741
conf/sigmod/DasGR03,JaJKfzmaEBYJ,197,55671,197_55671
journals/sigmod/BarbaraCJW01,asukNMVeZZYJ,198,43998,198_43998
journals/sigmod/CabreraLM01,b201QeqnlNkJ,199,48993,199_48993
conf/sigmod/WangJLY03,EQsWWZdE45wJ,200,46951,200_46951
journals/sigmod/Cardelli01,UYAoi4DYOXUJ,204,8157,204_8157
